id,unitType,faction,tierLevel,maxHp,populationCost,ambroisieCost,faithCost,AttackDamage,attackSpeed,movementsSpeed,MeleeAttackRange,visionRange,hpRegenRate,SheildValue_INFANTRY,ThroughObstacle_CAVALRY,ChageBonusDamage_CAVALRY,BlastRadius_ARTILLERY,DistantAttackRange_ARTILLERY
ATHENIAN,WORKER,ZEUS,1,50,1,0,0,0,0,2,1,3,1,-1,-1,-1,-1,-1
DISKTHROWER,ARTILLERY,ZEUS,1,60,1,0,10,20,1,2,1,3,1,-1,-1,-1,1,5
CAUCASIAN_EAGLE,CAVALRY,ZEUS,2,50,1,0,20,20,2,3,2,6,1,-1,1,1.25,-1,-1
CYCLOP,INFANTRY,ZEUS,2,150,3,0,40,50,0.5,1,2,1,1,50,-1,-1,-1,-1
CENTAUR,CAVALRY,ZEUS,3,130,2,30,30,40,2,3,2,3,1,-1,0,2,-1,-1
HYDRA,INFANTRY,ZEUS,3,50,3,40,20,40,1,2,2,4,5,150,-1,-1,-1,-1
SPARTAN,WORKER,HADES,1,80,1,0,0,0,0,2,1,3,1,-1,-1,-1,-1,-1
HOPLITE,INFANTRY,HADES,1,7,1,0,10,20,1,2,1,3,1,50,-1,-1,-1,-1
STYX_ARCHER,ARTILLERY,HADES,1,60,1,0,20,20,1,2,1,3,1,-1,-1,-1,1,5
TARTARUS_WARDEN,CAVALRY,HADES,2,80,2,0,30,25,1.5,3,2,3,1,-1,1,1.5,-1,-1
MEDUSA,ARTILLERY,HADES,3,110,2,25,25,20,1.25,2,1,3,1,-1,-1,-1,2,5
HEADLESS_KNIGHT,CAVALRY,HADES,3,150,3,30,10,40,1.25,3,2,2,1,-1,0,2,-1,-1
ATLANTEAN,WORKER,POSEIDON,1,50,1,0,0,0,0,2,1,3,1,-1,-1,-1,-1,-1
RETIARIUS,INFANTRY,POSEIDON,1,80,1,0,15,25,1,2,1,3,1,25,-1,-1,-1,-1
GIANT_SNAKE,INFANTRY,POSEIDON,2,150,3,0,40,35,0.75,2,2,4,1,50,-1,-1,-1,-1
HARPY,ARTILLERY,POSEIDON,2,60,2,0,35,30,2,3,2,4,1,-1,-1,-1,1,3
HIPPOCAMPUS_WARIOR,CAVALRY,POSEIDON,3,80,2,40,30,40,1.5,3,2,3,1,-1,1,1.5,-1,-1
GHOST_KRAKEN,INFANTRY,POSEIDON,3,200,4,50,40,50,1,1,3,3,1,100,-1,-1,-1,-1
