id,unitType,faction,tierLevel,maxHp,populationCost,ambroisieCost,faithCost,AttackDamage,attackSpeed,movementsSpeed,attackRange,visionRange,hpRegenRate,maxShield,ThroughObstacle_CAVALRY,ChageBonusDamage,chargeDistanceMax,chargeSpeed,BlastRadius_ARTILLERY
ATHENIAN,WORKER,ZEUS,1,50,1,0,0,0,0,11,1,1,1,0,0,0,0,0,0
DISKTHROWER,ARTILLERY,ZEUS,1,60,1,0,10,20,1,2,5,3,1,0,0,0,0,0,2
HOPLITE,INFANTRY,HADES,1,70,1,0,10,20,1,7,1,3,1,50,0,0,0,0,0
TARTARUS_WARDEN,CAVALRY,HADES,2,80,2,0,30,25,1.5,14,2,8,1,0,0,1.5,150,1.5,0
HEADLESS_KNIGHT,CAVALRY,HADES,3,150,3,30,10,40,1.25,14,2,8,1,0,0,2,200,1.5,0
RETIARIUS,INFANTRY,POSEIDON,1,80,1,0,15,25,1,8,1,4,1,25,0,0,0,0,0
SPARTAN,WORKER,HADES,1,80,1,0,0,0,0,11,1,1,1,0,0,0,0,0,0
GIANT_SNAKE,INFANTRY,POSEIDON,2,150,3,0,40,35,0.75,8,2,5,1,50,0,0,0,0,0
STYX_ARCHER,ARTILLERY,HADES,2,60,1,0,20,20,1,9,5,8,1,0,0,0,0,0,0
HIPPOCAMPUS_WARIOR,CAVALRY,POSEIDON,3,80,2,40,30,40,1.5,14,2,8,1,0,0,1.5,150,1.5,0
MEDUSA,ARTILLERY,HADES,3,110,2,25,25,20,1.25,9,7,8,1,0,0,0,0,0,4
GHOST_KRAKEN,INFANTRY,POSEIDON,3,200,4,50,40,50,1,8,2,4,1,100,0,0,0,0,0
ATLANTEAN,WORKER,POSEIDON,1,50,1,0,0,0,0,11,1,1,1,0,1,0,0,0,0
CAUCASIAN_EAGLE,CAVALRY,ZEUS,2,50,1,0,20,20,2,14,2,10,1,0,1,1.25,125,1.5,0
CYCLOP,INFANTRY,ZEUS,2,150,3,0,40,50,0.5,7,2,1,1,50,0,0,0,0,0
HARPY,ARTILLERY,POSEIDON,2,60,2,0,35,30,2,10,5,9,1,0,0,0,0,0,0
CENTAUR,CAVALRY,ZEUS,3,130,2,30,30,40,2,14,2,8,1,0,0,2,200,1.5,0
HYDRA,INFANTRY,ZEUS,3,200,3,40,20,40,1,8,2,4,5,150,0,0,0,0,0
DISK_THROWER,ARTILLERY,ZEUS,1,80,1,0,10,20,1.25,7,5,6,1,0,0,0,0,0,2
